filename,imagename,imageID,url,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,fileindex,0
2008 Mayerich 10.1109/TVCG.2008.179 c 10.png,bio81.png,I762,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio81.png,1,31,48,6,231,I762,0.3924,0.0253,bio81.png,1.681787357,2,762,19,61,2.3127,6.1282,11.5005,16,16
2011 Chen 10.1109/TVCG.2011.164 c 7.png,bio402.png,I829,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio402.png,1,41,23,23,215,I829,0.6406,0.0966,bio402.png,1.661233822,2,829,10,81,1.4814,3.9928,7.086,83,83
2009 Chen 10.1109/TVCG.2009.112 c 1.png,bio163.png,I775,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio163.png,1,24,29,8,197,I775,0.4528,0.039,bio163.png,1.64382006,2,775,10,71,3.4754,4.2446,9.7195,29,29
2010 Jeong 10.1109/TVCG.2010.168 c 2.png,bio305.png,I806,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio305.png,1,29,41,8,243,I806,0.4143,0.0319,bio305.png,1.637077443,2,806,13,61,2.7465,6.6489,14.1843,60,60
2013 Gurijala 10.1109/TVCG.2013.139 c 4.png,bio581.png,I863,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio581.png,1,38,20,25,205,I863,0.6552,0.1087,bio581.png,1.632869197,2,863,10,61,1.3673,5.7673,9.4878,117,117
2016 Jönsson 10.1109/TVCG.2016.2598430 c 3.png,bio779.png,I903,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio779.png,1,32,34,11,220,I903,0.4848,0.0476,bio779.png,1.630473281,2,903,9,75,2.9329,5.377,7.1946,157,157
2015 Lawonn 10.1109/TVCG.2015.2467961 c 8.png,bio746.png,I896,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio746.png,1,24,44,5,218,I896,0.3529,0.0224,bio746.png,1.6290247,2,896,5,71,4.8287,6.0389,7.7407,150,150
2012 Gurijala 10.1109/TVCG.2012.210 c 3.png,bio522.png,I851,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio522.png,1,42,29,19,214,I851,0.5915,0.0815,bio522.png,1.626457761,2,851,10,69,2.9781,4.8483,9.4986,105,105
2011 Rieder 10.1109/TVCG.2011.207 c 4.png,bio482.png,I841,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio482.png,1,29,41,8,233,I841,0.4143,0.0332,bio482.png,1.619216306,2,841,8,61,3.273,6.3595,5.5364,95,95
2008 Correa 10.1109/TVCG.2008.162 c 6.png,bio30.png,I754,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio30.png,1,40,42,12,229,I754,0.4878,0.0498,bio30.png,1.616210288,3,754,3,61,4.2456,4.6469,6.5704,8,8
2013 Köhler 10.1109/TVCG.2013.189 c 6.png,bio606.png,I869,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio606.png,1,46,18,34,192,I869,0.7188,0.1504,bio606.png,1.613999726,3,869,5,61,5.6614,6.6944,8.1431,123,123
2017 Mohammed 10.1109/TVCG.2017.2744278 c 2.png,bio872.png,I923,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio872.png,1,33,35,12,221,I923,0.4853,0.0515,bio872.png,1.593624643,3,923,5,61,6.3151,6.8672,11.1438,177,177
2014 Kretschmer 10.1109/TVCG.2014.2346405 c 1.png,bio686.png,I884,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio686.png,1,31,24,18,219,I884,0.5636,0.0759,bio686.png,1.593305335,3,884,6,78,4.2905,6.1559,9.7372,138,138
2013 Köhler 10.1109/TVCG.2013.189 c 3.png,bio603.png,I867,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio603.png,1,37,23,22,202,I867,0.6167,0.0982,bio603.png,1.588701415,3,867,1,61,6.0435,7.0225,8.3034,121,121
2009 Kindlmann 10.1109/TVCG.2009.177 c 1.png,bio242.png,I794,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio242.png,1,22,45,5,229,I794,0.3284,0.0214,bio242.png,1.58132092,3,794,3,64,6.2834,5.7692,11.7911,48,48
2011 Suter 10.1109/TVCG.2011.214 c 3.png,bio502.png,I846,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio502.png,1,22,41,6,233,I846,0.3492,0.0251,bio502.png,1.570774638,3,846,4,61,4.5921,6.8218,10.1538,100,100
2008 Krüger 10.1109/TVCG.2008.161 c 10.png,bio69.png,I761,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio69.png,1,21,52,4,236,I761,0.2877,0.0167,bio69.png,1.567125307,3,761,2,61,2.0854,6.695,6.6423,15,15
2012 Ip 10.1109/TVCG.2012.231 c 2.png,bio529.png,I853,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio529.png,1,45,32,21,216,I853,0.5844,0.0886,bio529.png,1.562589321,3,853,0,63,3.101,5.1415,6.9226,107,107
